Script ID,Audience,Content Pillar,Hook,Middle Section,Closing Line,Tone,Angle,CTA Type,Hook Strength,Viral Style
1,PCOS,Cravings,POV: it's 9pm and you've eaten everything in your kitchen — again.,That's not 'no willpower.' That's a blood sugar + cycle phase pattern your body keeps repeating. LYNA shows you the loop in 3 days.,Download LYNA and break the 9pm spiral.,Relatable,Story,Download,Viral,Story
2,PCOS,Insulin,Nobody told you PCOS was basically your body screaming about insulin.,"LYNA tracks how your meals, cycle, and energy crashes line up — so you stop fighting symptoms and start solving the root cause.",Try LYNA and finally see the pattern.,Bold,Curiosity,Try app,Viral,Curiosity
3,PCOS,Weight,Your weight isn't a willpower problem. It's a hormone problem with a name.,"LYNA helps you map cravings, cycle phase, and food choices in one place so you stop dieting and start decoding.",Download LYNA and decode your body.,Empowering,Reframe,Download,Viral,Punchy
4,PCOS,Energy,Why am I tired at 11am like I ran a marathon??,Spoiler: PCOS messes with how your body uses glucose. LYNA tracks the meals + cycle phases that drain you vs fuel you.,Try LYNA and find your real fuel.,Frustrated,Story,Try app,Viral,Story
5,PCOS,Periods,Your period is 47 days late and Google said 'see a doctor' — again.,"LYNA gives you the symptom + cycle history doctors actually want to see, so your next appointment isn't a guessing game.",Download LYNA and walk in prepared.,Direct,Relatable,Download,Viral,Punchy
6,PCOS,Hair,"Nobody warns you about the chin hair, the thinning, AND the mood swings.",PCOS is a full-body event. LYNA tracks the symptoms most apps ignore so you finally see the connections.,Try LYNA and track what actually matters.,Bold,Curiosity,Try app,Viral,Curiosity
7,PCOS,Bloating,"If your stomach goes from flat to 6-months-pregnant in one meal, read this.",That's PCOS inflammation talking. LYNA helps you spot which foods + cycle days trigger the bloat loop.,Download LYNA and find your trigger foods.,Direct,Shock,Download,Viral,Curiosity
8,PCOS,Mood,I cried over a parking spot today. My cycle starts in 3 days. Coincidence?,Spoiler: no. LYNA shows how your mood swings map to your cycle phase so you stop questioning your sanity every month.,Try LYNA and stop gaslighting yourself.,Funny,Story,Try app,Viral,Story
9,PCOS,Diet myths,Stop. Doing. Keto. For. PCOS. Without. Tracking.,"Not every body responds the same way. LYNA shows you what's actually working for YOUR cycle, not someone else's TikTok.",Download LYNA and personalize the plan.,Bold,Shock,Download,Viral,Punchy
10,PCOS,Acne,"Adult acne that only flares the week before your period? That's a clue, not a curse.",LYNA connects skin flare-ups to cycle phase and meals so you can stop blaming your face wash.,Try LYNA and find the real trigger.,Smart,Reframe,Try app,Viral,Punchy
