Script ID,Audience,Content Pillar,Hook,Middle Section,Closing Line,Tone,Angle,CTA Type,Hook Strength,Status
1,PCOS,Symptom relief,"If you’re starving one week and barely hungry the next, that may not be random.","Hunger often shifts across the cycle because appetite hormones, energy needs, and blood sugar stability are all changing at once.",Save this if your appetite changes from week to week.,Validating,Educational,Save,High,Draft
2,PCOS,Cravings,Cravings that keep coming back usually have a pattern.,"For a lot of people with PCOS, appetite changes, blood sugar swings, and cycle phase all overlap in ways that make cravings feel unpredictable.",Comment if you notice this too.,Calm,Data,Comment,High,Draft
3,PCOS,Energy,"If your body wants different food every week, that’s worth paying attention to.","Your energy needs can shift across the cycle, which means the same meals may not feel the same in every phase.",Follow for more cycle-based nutrition tips.,Empowering,Educational,Follow,High,Draft
4,PCOS,Blood sugar,"If you crash after meals, it may not be about willpower at all.","Meal composition, timing, and cycle phase can all affect how steady your energy feels after eating.",Save this if afternoon crashes are familiar.,Smart,Data,Save,High,Draft
5,PCOS,Performance,"Some weeks workouts feel easy, and other weeks they feel impossible.","That shift can be linked to hormones, recovery needs, and how well you’re fueling for the phase you’re in.",Follow for more on cycle and training.,Empowering,Relatable,Follow,High,Draft
6,PCOS,Appetite,Your hunger is not as random as it feels.,Many people notice appetite changes that follow the same cycle pattern month after month.,Comment if your hunger changes too.,Calm,Educational,Comment,High,Draft
7,PCOS,Meal timing,"If breakfast does not keep you full for long, look at the pattern, not just the meal.","How you feel after breakfast can depend on sleep, stress, blood sugar, and where you are in your cycle.",Save this for your next breakfast reset.,Direct,Educational,Save,High,Draft
8,PCOS,Sugar crashes,That 4pm crash may be trying to tell you something.,"When energy dips show up at the same time every day, it often points to a repeatable pattern in food, stress, or cycle phase.",Follow for more practical cycle tips.,Calm,Data,Follow,High,Draft
9,PCOS,Inflammation,"If you feel puffy for no clear reason, your cycle may be part of it.","Hormonal shifts can affect water retention, digestion, and how inflamed you feel across the month.",Save this if bloating changes with your cycle.,Reassuring,Educational,Save,High,Draft
10,PCOS,Consistency,Consistency feels hard when your body changes every week.,A more useful approach is noticing which habits work best in each phase instead of expecting one routine to fit all of them.,Comment if this changed how you think about consistency.,Empowering,Reframe,Comment,High,Draft
11,PCOS,Meal composition,"Sometimes the issue is not the food itself, but the combination.","Protein, fiber, fat, and timing can change how stable your energy feels after a meal.",Follow for more simple food pattern breakdowns.,Smart,Educational,Follow,High,Draft
12,PCOS,Hunger cues,Hunger cues can get louder when your body needs more support.,That does not mean you are failing — it can just mean your needs are different this week.,Save this if your appetite feels louder lately.,Validating,Support,Save,High,Draft
13,PCOS,Energy support,"When your energy drops, it is often a signal, not a flaw.","A lot of people try to push through when the better move is to adjust food, rest, or expectations.",Comment if you want more on energy patterns.,Calm,Support,Comment,High,Draft
14,PCOS,Body signals,Your body may be giving you data every day.,The trick is learning which signals matter most and how they change across the cycle.,Follow for more body-signal education.,Educational,Data,Follow,High,Draft
15,PCOS,Food and mood,"If your mood shifts with your energy, that connection is worth noticing.","Blood sugar stability, sleep, and cycle phase can all affect how grounded you feel mentally.",Save this if food affects your mood.,Reassuring,Educational,Save,High,Draft
16,PCOS,Recovery,Recovery is not supposed to feel identical every week.,"Your body’s recovery needs can shift with hormone changes, stress, and training load.",Follow for more cycle-aware recovery tips.,Smart,Educational,Follow,High,Draft
17,PCOS,Symptom tracking,One symptom on its own can be misleading.,"Patterns become clearer when you track symptoms alongside meals, energy, and cycle phase.",Comment if you track your symptoms already.,Educational,Data,Comment,High,Draft
18,PCOS,Breakfast,A lot of people underestimate how much breakfast changes the rest of the day.,"The first meal can affect energy, cravings, and focus more than most people realize.",Save this for your morning routine.,Direct,Educational,Save,High,Draft
19,PCOS,Craving cycle,Cravings often show up when something deeper is going on.,"That deeper pattern might be stress, blood sugar, cycle phase, or all three together.",Follow for more craving pattern breakdowns.,Calm,Data,Follow,High,Draft
20,PCOS,Weekly changes,"If every week feels different, that does not mean you are inconsistent.","Your hormones, appetite, and energy needs are changing in the background whether you notice them or not.",Comment if your weeks feel different too.,Empowering,Reframe,Comment,High,Draft
21,Endometriosis,Pain support,"If pain keeps changing your plans, that is not something to brush off.","Pain often has patterns, and those patterns can show up before a flare feels obvious.",Save this if your pain has a pattern.,Validating,Support,Save,High,Draft
22,Endometriosis,Flare prediction,Flare-ups rarely appear out of nowhere.,"A lot of people notice warning signs in energy, digestion, sleep, or mood before the pain gets worse.",Comment if you notice warning signs too.,Calm,Prediction,Comment,High,Draft
23,Endometriosis,Energy,Some days even small tasks feel heavy.,That heaviness can be part of a cycle-linked pattern rather than a sign that you are doing too much wrong.,Follow for more pain-support education.,Compassionate,Educational,Follow,High,Draft
24,Endometriosis,Gentle movement,"Gentle movement should feel supportive, not punishing.","On lower-energy days, the goal is often to work with your body instead of forcing it to keep up.",Save this for low-energy days.,Gentle,Support,Save,High,Draft
25,Endometriosis,Body awareness,"If your body feels heavy and stuck, pay attention to what else is happening around it.","Symptoms, sleep, food, and stress often move together even when the pain feels isolated.",Comment if your body feels like this too.,Reassuring,Educational,Comment,High,Draft
26,Endometriosis,Control,"The hardest part is often not the pain itself, but not knowing when it will show up.",That uncertainty can be reduced when you start noticing the repeated patterns behind it.,Follow for more flare-pattern education.,Calm,Prediction,Follow,High,Draft
27,Endometriosis,Triggers,You may be reacting to a trigger you have not noticed yet.,Triggers are often easier to spot when symptoms are tracked over time instead of looked at one day at a time.,Save this if you want to track your triggers.,Smart,Data,Save,High,Draft
