Script ID,Audience,Content Pillar,Hook,Middle Section,Closing Line,Tone,Angle,CTA Type,Hook Strength,Viral Style,Content Direction
1,PCOS,Cravings,POV: it's 9pm and you've eaten everything in your kitchen — again.,A lot of people don't realize that that's not 'no willpower.' That's a blood sugar + cycle phase pattern your body keeps repeating. the loop in 3 days.,Save this if you're trying to understand your body better.,Relatable,Story,Engagement,Viral,Story,Educational / Organic / Engagement-first
2,PCOS,Insulin,Nobody told you PCOS was basically your body screaming about insulin.,"This may be why how blood sugar patterns, hormones, and energy levels crashes line up — so you stop fighting symptoms and start solving the root cause.",Want part 2?,Bold,Curiosity,Engagement,Viral,Curiosity,Educational / Organic / Engagement-first
3,PCOS,Weight,Your weight isn't a willpower problem. It's a hormone problem with a name.,"One reason this happens is map cravings, cycle phase, and food choices in one place so you stop dieting and start decoding.",Follow for more hormone health tips.,Empowering,Reframe,Engagement,Viral,Punchy,Educational / Organic / Engagement-first
4,PCOS,Energy,Why am I tired at 11am like I ran a marathon??,A lot of people don't realize that spoiler: PCOS messes with how your body uses glucose. the meals + cycle phases that drain you vs fuel you.,Share this with someone who needs to hear it.,Frustrated,Story,Engagement,Viral,Story,Educational / Organic / Engagement-first
5,PCOS,Periods,Your period is 47 days late and Google said 'see a doctor' — again.,"A lot of people don't realize that the symptom patterns over time doctors actually want to see, so your next appointment isn't a guessing game.",Save this for later.,Direct,Relatable,Engagement,Viral,Punchy,Educational / Organic / Engagement-first
6,PCOS,Hair,"Nobody warns you about the chin hair, the thinning, AND the mood swings.",One reason this happens is pCOS is a full-body event. the symptoms most apps ignore so you finally see the connections.,Want part 2?,Bold,Curiosity,Engagement,Viral,Curiosity,Educational / Organic / Engagement-first
7,PCOS,Bloating,"If your stomach goes from flat to 6-months-pregnant in one meal, read this.",This can show up when that's PCOS inflammation talking. spot which foods + cycle days trigger the bloat loop.,Which symptom should I cover next?,Direct,Shock,Engagement,Viral,Curiosity,Educational / Organic / Engagement-first
8,PCOS,Mood,I cried over a parking spot today. My cycle starts in 3 days. Coincidence?,A lot of people don't realize that spoiler: no. LYNA shows how your mood swings map to your cycle phase so you stop questioning your sanity every month.,Share this with someone who needs to hear it.,Funny,Story,Engagement,Viral,Story,Educational / Organic / Engagement-first
9,PCOS,Diet myths,Stop. Doing. Keto. For. PCOS. Without. Tracking.,"A pattern I see often is not every body responds the same way. what's actually working for YOUR cycle, not someone else's TikTok.",Comment if this feels familiar.,Bold,Shock,Engagement,Viral,Punchy,Educational / Organic / Engagement-first
10,PCOS,Acne,"Adult acne that only flares the week before your period? That's a clue, not a curse.",A pattern I see often is lYNA connects skin flare-ups to cycle phase and meals so you can stop blaming your face wash.,Want part 2?,Smart,Reframe,Engagement,Viral,Punchy,Educational / Organic / Engagement-first
