Script ID,Audience,Content Pillar,Hook,Middle Section,Closing Line,Tone,Angle,CTA Type,Hook Strength
1,PCOS,Symptom relief,"If you’re starving one week and barely hungry the next, your hormones are talking.","LYNA tracks your hunger, meals, and cycle so you can see why your appetite changes instead of guessing every day.",Download LYNA and start seeing the pattern in your body.,Validating,Educational,Download,High
2,PCOS,Cravings,Stop blaming yourself for cravings that keep coming back.,A lot of PCOS craving cycles are really blood sugar and cycle-phase shifts showing up in your day-to-day energy. LYNA helps you spot the connection fast.,Try LYNA and scan your next meal.,Calm,Data,Scan meal,High
3,PCOS,Energy,Your body doesn’t hate you — it just doesn’t want the same fuel every week.,"LYNA matches your meals to your cycle so you can understand what supports energy, fullness, and steadier mood right now.",Start using LYNA and fuel with more clarity.,Empowering,Educational,Download,High
4,PCOS,Blood sugar,"If you crash after meals, this might be more than “just being tired.”","LYNA shows how your nutrition and cycle phase may be affecting blood sugar, hunger, and focus across the month.",Download LYNA and see what your meals are doing.,Smart,Data,Download,High
5,PCOS,Performance,Some weeks your workouts feel easy. Other weeks they feel impossible.,That’s not inconsistency — that’s biology. LYNA connects cycle phase and nutrition so you can understand your body’s changing demands.,Try LYNA and stop forcing the same plan every week.,Empowering,Relatable,Try app,High
6,PCOS,Appetite,Your hunger isn’t random — it follows a pattern you can see.,LYNA helps you track your appetite shifts alongside meals and cycle data so the pattern becomes easier to understand.,Download LYNA and start tracking the pattern.,Calm,Educational,Download,High
7,PCOS,Meal timing,"If breakfast leaves you hungry an hour later, pay attention.","LYNA shows how your cycle phase can change what keeps you full, energized, and stable through the day.",Try LYNA and test your next breakfast.,Direct,Educational,Try app,High
8,PCOS,Sugar crashes,That 4pm sugar crash may not be random.,"LYNA helps you connect cravings to your meals, cycle phase, and energy dips so you can make smarter food choices.",Download LYNA and spot the trigger.,Calm,Data,Download,High
9,PCOS,Inflammation,"If you feel puffy and inflamed for no obvious reason, your cycle may be part of it.",LYNA gives you a clearer view of how food and hormones interact across the month.,Start with LYNA and track the pattern.,Reassuring,Educational,Download,High
10,PCOS,Consistency,The reason consistency feels so hard is that your body changes every week.,LYNA helps you adjust meals to your cycle instead of forcing one plan for every phase.,Try LYNA and make consistency easier.,Empowering,Reframe,Try app,High
11,Endometriosis,Pain support,"If pain makes you cancel plans again, you’re not overreacting.","LYNA helps you track symptoms, meals, and cycle patterns so flare-ups stop feeling random and start making sense.",Start tracking with LYNA today.,Validating,Support,Track symptoms,High
12,Endometriosis,Flare prediction,Stop getting blindsided by your own body every month.,"LYNA shows you warning signs, symptom patterns, and possible triggers before the worst days hit.",Download LYNA and get ahead of the flare.,Calm,Data,Download,High
13,Endometriosis,Energy,Endo pain is more than cramps — it’s exhausting.,"LYNA gives you one place to track pain, energy, sleep, and food so you can see what helps and what makes hard days harder.",Try LYNA and track the full picture.,Compassionate,Educational,Try app,High
14,Endometriosis,Gentle movement,Some days even gentle movement feels too much.,LYNA helps you notice low-energy patterns so you can plan around them instead of pushing through and paying for it later.,Download LYNA and work with your body.,Gentle,Support,Download,High
15,Endometriosis,Body awareness,"If your body feels heavy and stuck, pay attention.","LYNA can help you connect those days to your cycle, meals, and symptom trends so your support plan becomes more personal.",Start using LYNA and spot your patterns.,Reassuring,Educational,Download,High
16,Endometriosis,Control,The biggest problem isn’t the pain itself — it’s not knowing when it’s coming.,"LYNA makes flare tracking feel lighter by showing your history in a way that helps you prepare, rest, and adjust.",Try LYNA and stop feeling blindsided.,Calm,Prediction,Try app,High
17,Endometriosis,Triggers,You may be reacting to a pattern you haven’t seen yet.,"LYNA helps you identify foods, energy dips, and cycle-linked symptoms that could be connected to flare days.",Download LYNA and look for the trigger.,Smart,Data,Download,High
18,Endometriosis,Validation,"Your pain is real, even when it comes and goes.",LYNA gives you a simple way to log the days that matter so you feel more supported and less dismissed.,Try LYNA and track what your body is saying.,Compassionate,Validation,Track symptoms,High
19,Endometriosis,Rest,Rest is not laziness when your body is asking for it.,LYNA helps you see patterns in your energy so you can protect your schedule before the crash hits.,Download LYNA and plan ahead.,Gentle,Support,Download,High
20,Endometriosis,Compassion,You shouldn’t have to explain your pain to yourself every month.,"LYNA brings your symptoms, meals, and cycle into one place so it’s easier to understand what’s happening.",Start with LYNA and get more clarity.,Reassuring,Educational,Download,High
21,Fertility,TTC clarity,What if your fertile window was easier to spot than you think?,"LYNA helps you track cycle signals, nutrition, and symptom patterns so you can understand the clues your body is already giving you.",Download LYNA and see the pattern.,Hopeful,Data,Download,High
22,Fertility,Emotional support,Nobody really prepares you for how emotional cycle tracking can feel.,"LYNA combines practical tracking with a calmer, clearer view of your cycle so TTC feels more informed and less overwhelming.",Try LYNA and take the pressure down.,Supportive,Emotional,Try app,High
23,Fertility,Body clues,Your body gives more clues than most people realize.,"LYNA helps you notice ovulation-related patterns, meal changes, and symptom shifts so you can stop relying on random guesswork.",Start with LYNA and track smarter.,Educational,Relatable,Track,High
24,Fertility,Symptom checking,"If you’re Googling every symptom during ovulation, you’re not alone.",LYNA turns all that scattered checking into one place where your cycle data and nutrition insights actually connect.,Download LYNA and simplify the process.,Relatable,Educational,Download,High
25,Fertility,Nutrition,The food you eat can support your fertility more than you think.,"LYNA shows you how meals align with your cycle phase so you can make small changes that feel doable, not intense.",Try LYNA and support your body with less stress.,Calm,Educational,Try app,High
26,Fertility,Tracking,Tracking ovulation shouldn’t feel like a full-time job.,LYNA makes the process feel more manageable by helping you see patterns instead of micromanaging every single day.,Download LYNA and make tracking easier.,Practical,Support,Download,High
27,Fertility,Fertile window,Your body is giving you signs — you just need a clearer way to read them.,"LYNA helps you connect symptoms, meals, and cycle data so ovulation patterns become easier to notice.",Try LYNA and start seeing the clues.,Calm,Educational,Try app,High
28,Fertility,Consistency,"If your cycle feels hard to follow, you’re not doing it wrong.",LYNA turns scattered notes into one simple view of your cycle so it feels less chaotic and more useful.,Start with LYNA and simplify the process.,Reassuring,Support,Download,High
29,Fertility,Meal support,What you eat can shape how your cycle feels more than you think.,"LYNA shows how your meals align with your cycle phase so you can make small, steady changes that support your goals.",Download LYNA and connect meals to your cycle.,Educational,Data,Download,High
30,Fertility,Pattern tracking,One cycle can tell you a lot if you know what to look for.,LYNA helps you notice repeated symptoms and changes so every month gives you more clarity.,Try LYNA and track smarter this cycle.,Hopeful,Educational,Track,High
31,Perimenopause,Energy,Waking up tired no matter how much you sleep? That matters.,"LYNA helps you track sleep, energy, and cycle-related changes so you can see whether your fatigue is following a pattern.",Try LYNA and let the data explain it.,Calm,Validation,Try app,High
32,Perimenopause,Identity,"If you feel unlike yourself lately, you’re not imagining it.","Perimenopause can shift energy, mood, and focus in ways that are hard to name until you track them clearly. LYNA helps with that.",Download LYNA and get more clarity.,Reassuring,Emotional,Download,High
33,Perimenopause,Afternoon crash,Your energy dipping by 3pm every day is not “just life.”,"LYNA helps you see how sleep, meals, and cycle changes may be shaping those afternoon crashes.",Start tracking with LYNA today.,Direct,Educational,Download,High
34,Perimenopause,Fatigue patterns,The exhaustion feels random until you look at it closely.,LYNA gives you an easier way to notice how your energy shifts across the month and what may be helping or draining you.,Try LYNA and start seeing the trend.,Calm,Pattern recognition,Try app,High
35,Perimenopause,Hormone shifts,A lot of women think they’re losing control when their hormones shift.,"LYNA brings the focus back to patterns, support, and realistic daily choices instead of blame.",Download LYNA and feel more steady.,Empowering,Reframe,Download,High
36,Perimenopause,Mental health,"Hormonal changes can affect anxiety, sleep, and focus more than people talk about.",LYNA helps you track those changes alongside nutrition and cycle data so the symptoms feel less mysterious.,Try LYNA and make the invisible visible.,Smart,Educational,Try app,High
37,Perimenopause,Sleep,"If your sleep changed before your energy did, that’s worth noticing.","LYNA helps you connect sleep quality, cycle shifts, and food habits so you can understand what’s changing.",Download LYNA and track the pattern.,Calm,Data,Download,High
